Removed_Feature,R2_After_Removal,R2_Drop,RMSE,rRMSE,MAE
Canopy_Volume,0.8963172435760498,0.04613804817199707,1.495489332053277,4.52866161157776,0.9368122816085815
Canopy_LAI,0.9061311483383179,0.036324143409729004,1.4229536890414305,4.3090081677595755,0.9081604480743408
Canopy_HP,0.9073566198348999,0.03509867191314697,1.4136350628502021,4.280789374217988,0.8992810845375061
Canopy_COV,0.9074708819389343,0.03498440980911255,1.4127627558769396,4.2781478420995995,0.8947743773460388
Canopy_K,0.9220118522644043,0.020443439483642578,1.2970129652059117,3.927632714826615,0.8402425646781921
Canopy_S,0.9268853068351746,0.015569984912872314,1.2558344576011506,3.8029353849194156,0.8185485005378723
Temp_std,0.9281629920005798,0.014292299747467041,1.2448129319591819,3.7695598475578254,0.7697552442550659
Thermal_contrast,0.930419921875,0.012035369873046875,1.2251024728849864,3.709872361032376,0.7412518262863159
NDVI_mean,0.9312753081321716,0.011179983615875244,1.2175490502223167,3.6869989813864716,0.7342590689659119
GNDVI_std,0.9321346879005432,0.010320603847503662,1.2099123152968947,3.663873314386848,0.7557605504989624
Green_contrast,0.9331170320510864,0.00933825969696045,1.2011238398677841,3.6372599307624647,0.7287957072257996
NIR_mean,0.9332659244537354,0.009189367294311523,1.1997862228073102,3.633209340161164,0.7314525842666626
Thermal_correlation,0.9338767528533936,0.00857853889465332,1.1942823870577326,3.6165425481344236,0.7272883653640747
RedEdge_contrast,0.935206413269043,0.007248878479003906,1.182213712074448,3.5799960185618125,0.7312980890274048
Green_correlation,0.9352481365203857,0.007207155227661133,1.1818329961888596,3.5788431294177516,0.7532771825790405
